正在读取文件...
add.txt 条目数: 513
modify.txt 条目数: 99

add.txt 中独有的条目（共 414 条）:
------------------------------------------------------------
U+00a2 => 0xa1e9 | lookup=U+ffe0
U+00a3 => 0xa1ea | lookup=U+ffe1
U+00a5 => 0xa3a4 | lookup=U+ffe5
U+00a6 => 0x007c | lookup=U+007c
U+00aa => 0x0061 | lookup=U+0061
U+00ad => 0x002d | lookup=U+002d
U+00af => 0xa1a5 | lookup=U+02c9
U+00b2 => 0x0032 | lookup=U+0032
U+00b3 => 0x0033 | lookup=U+0033
U+00b4 => 0xa1e4 | lookup=U+2032
U+00b5 => 0xa6cc | lookup=U+03bc
U+00b9 => 0x0031 | lookup=U+0031
U+00ba => 0x006f | lookup=U+006f
U+00c0 => 0xa8a4 | lookup=U+00e0
U+00c1 => 0xa8a2 | lookup=U+00e1
U+00c8 => 0xa8a8 | lookup=U+00e8
U+00c9 => 0xa8a6 | lookup=U+00e9
U+00ca => 0xa8ba | lookup=U+00ea
U+00cc => 0xa8ac | lookup=U+00ec
U+00cd => 0xa8aa | lookup=U+00ed
U+00d0 => 0x0044 | lookup=U+0044
U+00d2 => 0xa8b0 | lookup=U+00f2
U+00d3 => 0xa8ae | lookup=U+00f3
U+00d9 => 0xa8b4 | lookup=U+00f9
U+00da => 0xa8b2 | lookup=U+00fa
U+00dc => 0xa8b9 | lookup=U+00fc
U+00dd => 0x0059 | lookup=U+0059
U+00de => 0x0054 | lookup=U+0054
U+00e2 => 0x0061 | lookup=U+0061
U+00f0 => 0x0065 | lookup=U+0065
U+00fd => 0x0079 | lookup=U+0079
U+00fe => 0x0074 | lookup=U+0074
U+0100 => 0xa8a1 | lookup=U+0101
U+0112 => 0xa8a5 | lookup=U+0113
U+011a => 0xa8a7 | lookup=U+011b
U+012a => 0xa8a9 | lookup=U+012b
U+014c => 0xa8ad | lookup=U+014d
U+016a => 0xa8b1 | lookup=U+016b
U+01c1 => 0xa1ce | lookup=U+2225
U+01cd => 0xa8a3 | lookup=U+01ce
U+01cf => 0xa8ab | lookup=U+01d0
U+01d1 => 0xa8af | lookup=U+01d2
U+01d3 => 0xa8b3 | lookup=U+01d4
U+01d5 => 0xa8b5 | lookup=U+01d6
U+01d7 => 0xa8b6 | lookup=U+01d8
U+01d9 => 0xa8b7 | lookup=U+01da
U+01db => 0xa8b8 | lookup=U+01dc
U+203e => 0xa3fe | lookup=U+ffe3
U+2218 => 0xa1e3 | lookup=U+00b0
U+223c => 0xa1ab | lookup=U+ff5e
U+3192 => 0xd2bb | lookup=U+4e00
U+3193 => 0xb6fe | lookup=U+4e8c
U+3194 => 0xc8fd | lookup=U+4e09
U+3195 => 0xcbc4 | lookup=U+56db
U+3196 => 0xc9cf | lookup=U+4e0a
U+3197 => 0xd6d0 | lookup=U+4e2d
U+3198 => 0xcfc2 | lookup=U+4e0b
U+3199 => 0xbcd7 | lookup=U+7532
U+319a => 0xd2d2 | lookup=U+4e59
U+319b => 0xb1fb | lookup=U+4e19
U+319c => 0xb6a1 | lookup=U+4e01
U+319d => 0xccec | lookup=U+5929
U+319e => 0xb5d8 | lookup=U+5730
U+319f => 0xc8cb | lookup=U+4eba
U+322a => 0xd4c2 | lookup=U+6708
U+322b => 0xbbf0 | lookup=U+706b
U+322c => 0xcbae | lookup=U+6c34
U+322d => 0xc4be | lookup=U+6728
